latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
40.64027,-74.01774,1.0,67.0,1.56,1.0,8.0
40.83428,-73.94446,1.0,1.0,0.02,1.0,0.0
40.71115,-73.95825,2.0,14.0,1.99,1.0,0.0
40.68538,-73.94138,3.0,3.0,0.08,2.0,0.0
40.73168,-73.98662,30.0,52.0,0.6,1.0,314.0
40.73551,-73.98546,2.0,29.0,3.27,1.0,65.0
40.72635,-73.97595,1.0,114.0,1.71,1.0,157.0
40.66035,-73.99794,7.0,2.0,0.1,1.0,0.0
40.76382,-73.99435,30.0,3.0,0.45,31.0,339.0
40.61842,-73.97111,35.0,0.0,0.062,1.0,0.0
40.70343,-73.94894,6.0,7.0,0.96,1.0,4.0
40.58765,-73.94881,30.0,0.0,0.7,3.0,84.0
40.69241,-73.95793,2.0,3.0,3.0,1.0,268.0
40.77705,-73.98118,2.0,81.0,5.63,1.0,6.0
40.66711,-73.97691,3.0,0.0,0.08,1.0,0.0
40.59726,-73.95951,3.0,1.0,0.26,10.0,281.0
40.73962,-73.98492,5.0,7.0,0.38,1.0,1.0
40.71518,-73.94146,3.0,0.0,0.542,1.0,359.0
40.66969,-73.77464,2.0,0.0,0.914,2.0,90.0
40.70362,-74.00721,2.0,4.0,0.21,1.0,0.0
40.68279,-73.92135,2.0,11.0,0.93,1.0,6.0
40.77715,-73.98235,1.0,0.0,0.022,1.0,0.0
40.72131,-73.98508,2.0,1.0,0.37,1.0,0.0
40.77861,-73.95015,31.0,6.0,0.27,33.0,326.0
40.71582,-73.94191,3.0,32.0,3.12,3.0,78.0
40.69563,-73.93206,4.0,1.0,0.04,2.0,0.0
40.80171,-73.96623,5.0,55.0,2.02,1.0,0.0
40.71447,-73.96234,7.0,3.0,0.12,1.0,43.0
40.6971,-73.97523,30.0,0.0,0.40800000000000003,25.0,305.0
40.81208,-73.94243,2.0,3.0,0.05,1.0,364.0
40.72369,-73.98998,2.0,1.0,0.02,1.0,0.0
40.68477,-73.96757,10.0,0.0,0.07,1.0,0.0
